Source,Target,Attributes
"MARFIA, GUSTAVO","ROCCETTI, MARCO",{'weight': 3.7}
"MARFIA, GUSTAVO","AMOROSO, ALESSANDRO",{'weight': 1.2}
"MARFIA, GUSTAVO","VARNI, ANGELO",{'weight': 0.3}
"MARFIA, GUSTAVO","CARACENI, SIMONA",{'weight': 0.05}
"CARACENI, SIMONA","ROCCETTI, MARCO",{'weight': 0.05}
"CARACENI, SIMONA","AMOROSO, ALESSANDRO",{'weight': 0.05}
"CARACENI, SIMONA","VARNI, ANGELO",{'weight': 0.05}
"ROCCETTI, MARCO","AMOROSO, ALESSANDRO",{'weight': 1.4}
"ROCCETTI, MARCO","VARNI, ANGELO",{'weight': 0.3}
"AMOROSO, ALESSANDRO","VARNI, ANGELO",{'weight': 0.05}
