Source,Target,Attributes
"OMICINI, ANDREA","RICCI, ALESSANDRO",{'weight': 3.1}
"OMICINI, ANDREA","VIROLI, MIRKO",{'weight': 4.15}
"OMICINI, ANDREA","OLIVA, ENRICO",{'weight': 0.65}
"OMICINI, ANDREA","NATALI, ANTONIO",{'weight': 0.05}
"NATALI, ANTONIO","OLIVA, ENRICO",{'weight': 0.1}
"NATALI, ANTONIO","RICCI, ALESSANDRO",{'weight': 0.15}
"NATALI, ANTONIO","VIROLI, MIRKO",{'weight': 0.15}
"OLIVA, ENRICO","VIROLI, MIRKO",{'weight': 0.65}
"OLIVA, ENRICO","RICCI, ALESSANDRO",{'weight': 0.25}
"RICCI, ALESSANDRO","VIROLI, MIRKO",{'weight': 3.05}
